Analyse Political Party Returns - 2014-15,
Australian Labor Party (ALP), data exported: 29/Jun/2016 01:06,
PayerClientNm,PayerAddressLine1,PayerSuburb,PayerStateAb,PayerPostcode,AmountReceived,ReceiptTyDs,
"AbbVie","Level 2, 72 Christie St ,","ST LEONARDS","NSW","2065","2652","Other Receipt",
"AbbVie","Level 2, 72 Christie St ,","ST LEONARDS","NSW","2065","2650","Other Receipt",
"Adani Mining Pty Ltd","GPO Box 2569","BRISBANE","QLD","4001","3300","Other Receipt",
"Adani Mining Pty Ltd","GPO Box 2569","BRISBANE","QLD","4001","2200","Other Receipt",
"AGL Energy Limited","Level 21 , 120 Spencer Street","MELBOURNE","VIC","3000","3300","Other Receipt",
"Alan Finkel","PO Box 254 ,","TOORAK","VIC","3142","5500","Other Receipt",
"Alinta Energy","Level 11, 20 Bridge Street ,","SYDNEY","NSW","2000","6600","Other Receipt",
"Allans Billy Hyde Pty Ltd","37-47 Thistlethwaite St","SOUTH MELBOURNE","VIC","3205","5500","Other Receipt",
"Allianz Australia Insurance Limited","2 Market Street","SYDNEY","NSW","2000","16500","Subscription",
"ALP International Program","PO Box 6222 ,","KINGSTON","ACT","2604","25000","Other Receipt",
"Amgen Australia Pty Ltd","Avaya House, 123 Epping Road , Level 7","Macquarie Park","NSW","2113","10000","Other Receipt",
"Amgen Australia Pty Ltd","Avaya House, 123 Epping Road , Level 7","NORTH RYDE","NSW","2113","8755","Other Receipt",
"Amgen Australia Pty Ltd","Avaya House, 123 Epping Road , Level 7","North Ryde","NSW","2113","1500","Other Receipt",
"ANZ Banking Group Ltd (Aust)","Level 10, 833 Collins Street","DOCKLANDS","VIC","3008","80000","Donation",
"ANZ Banking Group Ltd (Aust)","Level 10 , 833 Collins Street","Docklands","VIC","3008","10000","Other Receipt",
"APPEA","Level 36 , 32 Turbot Street","Brisbane","QLD","4000","10000","Other Receipt",
"APPEA","Level 10, 60 Marcus Clarke Street ,","CANBERRA","ACT","2600","8755","Other Receipt",
"Ark Television Concepts","Chowne Place 7","SYDNEY","NSW","2068","1100","Other Receipt",
"Arnold Bloch Leibler","Level 21, 333 Collins St","Melbourne","VIC","3000","1100","Other Receipt",
"Asciano Limited","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","44000","Subscription",
"Asciano Limited","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","22000","Other Receipt",
"Aspen Medical Pty Ltd","17c, 2 King Street ,","DEAKIN","ACT","2600","3300","Other Receipt",
"Aspen Medical Pty Ltd","17c, 2 King Street ,","DEAKIN","ACT","2600","1100","Other Receipt",
"Aspen Medical Pty Ltd","17c, 2 King Street ,","DEAKIN","ACT","2600","1100","Other Receipt",
"ASPIA (Australian Salary Packaging Insudry Association Limited","Level 2 , 15 - 29 Bank Street","South Melbourne","VIC","3205","10000","Other Receipt",
"AstraZeneca","Ogillvy House, Level 2 , 72 Christie St.","ST LEONARDS","NSW","2065","2635","Other Receipt",
"ASX Group","20 Bridge Street","SYDNEY","NSW","2000","110000","Subscription",
"ATEC Rail Group","Level 13, 120 Edward Street","BRISBANE","QLD","4000","11000","Other Receipt",
"Atlas Iron Limited","Level 18, 300 Murray Street","PERTH","WA","6000","11000","Other Receipt",
"Aurizon","GPO Box 456","BRISBANE","QLD","4001","10000","Other Receipt",
"Aurizon","GPO Box 456","BRISBANE","QLD","4001","8500","Other Receipt",
"Aurizon","GPO Box 456","BRISBANE","QLD","4001","2614","Other Receipt",
"Aurizon","GPO Box 456","BRISBANE","QLD","4001","2200","Other Receipt",
"Aurizon","GPO Box 456","BRISBANE","QLD","4001","1100","Other Receipt",
"Aurizon","GPO Box 456","BRISBANE","QLD","4001","1100","Other Receipt",
"AUSFILM International Inc","FSA12, Fox Studios Aust. 38 Driver Ave","Moore Park","NSW","2021","10000","Other Receipt",
"AUSFILM International Inc","FSA12, Fox Studios Aust. 38 Driver Ave","MOORE PARK","NSW","2021","1320","Other Receipt",
"Aust Manufacturing Workers Union","National Office , PO Box 160","GRANVILLE","NSW","2142","20000","Donation",
"Austal","100 Clarence Beach Road","HENDERSON","WA","6166","27500","Subscription",
"Austal","101 Clarence Beach Road ,","Henderson","WA","6166","2654","Other Receipt",
"Austal","100 Clarence Beach Road ,","Henderson","WA","6166","1100","Other Receipt",
"Austral Fisheries Pty Ltd","Level 4, 50 Oxford Close","WEST LEEDERVILLE","WA","6007","15000","Subscription",
"Australia Post","Level 19, 111 Bourke Street","MELBOURNE","VIC","3000","5500","Other Receipt",
"Australia Post","Level 19, 111 Bourke Street","MELBOURNE","VIC","3000","1500","Other Receipt",
"Australia-Israel Chamber of Commerce Victorian Division","Level 8, 11 Queens Road ,","Melbourne","VIC","3004","1100","Other Receipt",
"Australian Automobile Association","103 Northbourne Ave ,","Canberra","ACT","2601","1100","Other Receipt",
"Australian Bankers' Association Inc.","Level 3, 56 Pitt Street","SYDNEY","NSW","2000","8500","Other Receipt",
"Australian Bankers' Association Inc.","Level 3, 56 Pitt Street","SYDNEY","NSW","2000","2200","Other Receipt",
"Australian Hotels Association","PO Box 4286","MANUKA","ACT","2603","22000","Other Receipt",
"Australian Hotels Association (NSW)","Level 15 , 131 Macquarie Street","SYDNEY","NSW","2000","27500","Subscription",
"Australian Livestock Exporters' Council","PO Box 5552","KINGSTON","ACT","2604","3300","Other Receipt",
"Australian Logistics Council Ltd","Suite 17b, National Press Club Building , 17 National Circuit","Canberra","ACT","2600","2659","Other Receipt",
"Australian Mines and Minerals Association","10/607 Bourke Street","MELBOURNE","VIC","3000","2000","Other Receipt",
"Australian Music Group","37-47 Thistlethwaite St","SOUTH MELBOURNE","VIC","3000","44466","Other Receipt",
"Australian Music Group","37-47 Thistlethwaite St","SOUTH MELBOURNE","VIC","3000","36622","Other Receipt",
"Australian Music Group","37-47 Thistlethwaite St","SOUTH MELBOURNE","VIC","3000","1100","Other Receipt",
"Australian Wagering Council","Level 12,  95 Pitt  Street","SYDNEY","NSW","2000","13750","Other Receipt",
"Australian Wagering Council","Level 12,  95 Pitt  Street","SYDNEY","NSW","2000","2500","Other Receipt",
"Australian Wagering Council","Level 12,  95 Pitt  Street","SYDNEY","NSW","2000","2000","Other Receipt",
"Australian Wagering Council","Level 12, 95 Pitt Street ,","Sydney","NSW","2000","1100","Other Receipt",
"Australian Wagering Council","Level 26, No 1 Bligh Street1-7 Bligh St ,","Sydney","NSW","2000","1100","Other Receipt",
"AUSVEG","PO Box 138 ,","CAMBERWELL","VIC","3124","11000","Subscription",
"AUSVEG","PO Box 138 ,","CAMBERWELL","VIC","3124","1100","Other Receipt",
"Avalon Airport Australia Pty Ltd","80 Beach Road","LARA","VIC","3212","1133","Other Receipt",
"Bensons Property Group","Level 1, 461 Bourke Street","MELBOURNE","VIC","3001","1100","Other Receipt",
"Bespoke Approach","19 Vardon Ave ,","Adelaide","SA","5000","8000","Other Receipt",
"BGC (Australia) Pty Ltd","6th Floor , 22 Mount Street","Perth","WA","6000","1100","Other Receipt",
"Bluegum","16-18 Ceylon Street","NUNAWADING","VIC","3131","5000","Other Receipt",
"Bluescope Steel Limited","Level 11, 120 Collins Street ,","MELBOURNE","VIC","3000","16500","Subscription",
"Bluescope Steel Limited","Level 11, 120 Collins Street ,","Melbourne","VIC","3000","5000","Other Receipt",
"Bluescope Steel Limited","Level 11, 120 Collins Street ,","MELBOURNE","VIC","3000","1100","Other Receipt",
"Bongiorno & Partners (Vic) Pty Ltd","Level 2, 431 St Kilda Road ,","MELBOURNE","VIC","3004","28325","Other Receipt",
"Bongiorno & Partners (Vic) Pty Ltd","Level 2, 431 St Kilda Road ,","Melbourne","VIC","3004","7500","Other Receipt",
"Bongiorno & Partners (Vic) Pty Ltd","Level 2, 431 St Kilda Road ,","MELBOURNE","VIC","3004","1500","Other Receipt",
"Brand Partners Commercial Lawyers","Level 17, 114 WIlliam Street","MELBOURNE","VIC","3000","5500","Other Receipt",
"Brewers Association of Australia & New Zealand Inc","PO Box 4021 ,","MANUKA","ACT","2603","3300","Other Receipt",
"Brighton Australia Pty Ltd","65 The Grand Parade","BRIGHTON LE SANDS","NSW","2216","11000","Other Receipt",
"Bupa","255 George Street ,","Sydney","NSW","2000","7500","Other Receipt",
"BUPA Australia","600 Glenferrie Road","HAWTHORN","VIC","3122","27500","Other Receipt",
"Calibre Group","PO Box 127","ST LEONARDS","NSW","2065","3300","Other Receipt",
"Cameron Foundation","PO Box 748 ,","Vaucluse","NSW","2030","1100","Other Receipt",
"Carlton & United Breweries","GPO Locked Bag 20041","MELBOURNE","VIC","3001","5500","Other Receipt",
"Carlton & United Breweries","GPO Locked Bag 20041","MELBOURNE","VIC","3001","5500","Other Receipt",
"Celgene","Ogillvy House, Level 2 , 72 Christie St.","ST LEONARDS","NSW","2065","2631","Other Receipt",
"CFMEU (National Office)","1/148-152 Miller Street ,","WEST MELBOURNE","VIC","3003","50000","Donation",
"Chevron Australia","Level 1, The Realm 18 National Circuit ,","BARTON","ACT","2600","1100","Other Receipt",
